"kommune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Frederikssund",0.00679009551401023,0.0135418782585145,0,0.00225402907697509,0.00900880610797054,0.0045031860040979,0.00447177193963108,0.0022204458655298,0.0132775675496249,0.0110297361687108,0.0154788492581209
"Furesø",0.00261560996024273,0,0.00261485762100254,0,0.00259794242959576,0,0.00498057575455723,0.00246226577696797,0.00488866075138716,0.0024349265869634,0.00732332478945441
"Gribskov",0.00245736472207205,0.00737100737100737,0,0.00491944410281638,0.0049046054244936,0.00244768082242076,0.0194614056000195,0.00970567539368646,0.00727855011281753,0.00970991625197233,0.00487234457220815
"Halsnæs",0.00643562763458506,0.00965996908809892,0.00968366688185926,0.0129857481414148,0,0.00325351379489849,0.00644143128603176,0.0224632565303896,0.00320841889117043,0.0127914041763935,0.0159316849349987
"Helsingør",0.0081775509870304,0.0065180550123843,0.00650480542500772,0.00486910229983932,0.0048765422064728,0.00324506749740395,0.00644205372672808,0.00160146053200519,0.0127620202278021,0.00319657327345086,0
"Hillerød",0.0252775261727719,0.00417397111611988,0.00414911934941809,0.00827900238021318,0.00410719786425711,0.00814531237272949,0.0120792398131744,0.00598694845237382,0.0118460019743337,0.00196086121024354,0.00195377371392845
"Hørsholm",0,0,0.00410424789657295,0.00814896304445259,0,0,0.00400560785099139,0,0.00399552501198657,0.00799776062702443,0.00804375804375804
"Rudersdal",0.00183674968775255,0.00182598374874464,0,0,0,0,0.00358815192235239,0.00178148326296474,0.00357213023986855,0.00353925923304252,0.00176279791284727
"Bornholm",0.00474450823172178,0.00239223003684034,0.0048422632738542,0.00491219452290311,0.00248663434042024,0.00753238927387767,0.00754603078780561,0.0125960448419196,0.0100928542591845,0.0277974325280501,0.00506341932707157
"Christiansø",0,0,0,0,0,0,0,0,0,0,0
"Greve",0.0104545644628445,0.0041685772645796,0,0.00208420175072947,0.00415843642790311,0.00819084672878059,0.00403893533664526,0.00400633000140222,0.00600312162324409,0.0059681301848131,0.0158234107361842
"Køge",0.00350109409190372,0,0.00348997504667842,0.00173097228713368,0.00856545722410662,0.00674706924179809,0.00835170708892898,0.00499093313813239,0.0115978527404069,0.00659250103007829,0.0032798176421391
"Lejre",0.0074643576920206,0,0.00371926953546324,0.00371733392810676,0.00370521323502168,0,0.00732144818245049,0.00364936865922195,0.00726110949753122,0.0036003600360036,0
"Roskilde",0.00366090277862521,0.00363451333866395,0.0036085016298399,0.00718098475237571,0.00474952207934077,0.00823277585679674,0.00347999582400501,0.0195368614606677,0.0114440044860498,0.0137022277538623,0.00796232681939168
"Solrød",0.00478881333205632,0.0190803281816447,0,0.00472925041380941,0.00468625521345893,0,0.00458968239397834,0,0.00888178346211919,0.00433557337957945,0
"Faxe",0.00283237976547896,0,0,0.00284713720354184,0.0113898459523335,0,0.00280788453978772,0.0111370976723466,0.0193696560502504,0.0082162517459535,0.0109361329833771
