"kommune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Kerteminde",100,NA,50,NA,100,NA,NA,33.3333333333333,100,100,0
"Langeland",100,NA,NA,NA,NA,0,100,0,0,100,NA
"Middelfart",100,71.4285714285714,100,NA,100,100,100,66.6666666666667,83.3333333333333,75,75
"Nordfyns",50,NA,50,100,100,100,NA,100,50,0,50
"Nyborg",100,60,50,100,50,88.8888888888889,20,80,100,66.6666666666667,50
"Odense",67.8571428571429,91.304347826087,72.2222222222222,82.3529411764706,93.3333333333333,76.1904761904762,56.4102564102564,60,61.7647058823529,65.7142857142857,69.2307692307692
"Svendborg",25,75,66.6666666666667,85.7142857142857,100,80,83.3333333333333,85.7142857142857,88.8888888888889,85.7142857142857,87.5
"Ærø",100,NA,NA,NA,NA,NA,NA,100,100,0,0
"Billund",33.3333333333333,100,NA,NA,100,0,80,0,20,33.3333333333333,100
"Esbjerg",57.1428571428571,87.5,78.5714285714286,75,100,88.8888888888889,50,57.6923076923077,57.5757575757576,58.0645161290323,58.8235294117647
"Fanø",NA,100,NA,NA,0,NA,100,NA,NA,0,NA
"Fredericia",75,100,100,50,100,80,66.6666666666667,55.5555555555556,80,53.8461538461538,92.3076923076923
"Haderslev",100,40,50,57.1428571428571,100,100,100,66.6666666666667,72.7272727272727,62.5,54.5454545454545
"Kolding",57.1428571428571,42.8571428571429,100,83.3333333333333,66.6666666666667,60,52.1739130434783,41.6666666666667,73.3333333333333,57.1428571428571,47.3684210526316
"Sønderborg",85.7142857142857,66.6666666666667,84.6153846153846,100,80,87.5,70,75,72.7272727272727,65,58.8235294117647
"Tønder",100,75,66.6666666666667,100,66.6666666666667,33.3333333333333,66.6666666666667,55.5555555555556,100,88.8888888888889,78.5714285714286
"Varde",66.6666666666667,50,NA,50,50,85.7142857142857,75,66.6666666666667,75,80.7692307692308,81.8181818181818
"Vejen",100,100,100,100,100,100,75,33.3333333333333,73.3333333333333,54.5454545454545,72.7272727272727
"Vejle",100,70,81.8181818181818,75,83.3333333333333,85.7142857142857,66.6666666666667,72.7272727272727,50,56.5217391304348,66.6666666666667
"Aabenraa",33.3333333333333,70,85.7142857142857,100,66.6666666666667,100,100,64.7058823529412,33.3333333333333,80,28.5714285714286
"Favrskov",50,0,NA,100,80,100,25,33.3333333333333,71.4285714285714,87.5,66.6666666666667
"Hedensted",50,100,100,100,100,NA,75,60,87.5,50,71.4285714285714
"Horsens",57.1428571428571,100,60,66.6666666666667,100,50,37.5,40,73.3333333333333,66.6666666666667,81.8181818181818
"Norddjurs",0,100,100,100,100,NA,60,75,85.7142857142857,81.8181818181818,16.6666666666667
"Odder",NA,0,100,NA,NA,100,50,25,0,100,0
"Randers",100,62.5,60,100,100,62.5,72.7272727272727,46.1538461538462,78.5714285714286,52.6315789473684,76.4705882352941
"Samsø",100,NA,NA,NA,NA,NA,50,50,0,100,0
"Silkeborg",50,100,83.3333333333333,33.3333333333333,66.6666666666667,62.5,60,60,50,66.6666666666667,58.3333333333333
"Skanderborg",50,100,100,NA,50,100,0,60,42.8571428571429,62.5,66.6666666666667
"Syddjurs",100,0,50,100,NA,100,66.6666666666667,25,40,77.7777777777778,25
"Aarhus",56.25,72.7272727272727,60,58.3333333333333,76.4705882352941,56.5217391304348,53.0612244897959,52.6315789473684,31.9148936170213,54.1666666666667,65.3061224489796
"Herning",66.6666666666667,76.9230769230769,76.9230769230769,100,100,75,45,33.3333333333333,56.5217391304348,41.6666666666667,53.8461538461538
"Holstebro",60,75,33.3333333333333,66.6666666666667,100,87.5,90,25,45.4545454545455,63.6363636363636,68.75
"Ikast-Brande",50,83.3333333333333,100,75,100,100,50,60,100,83.3333333333333,87.5
"Lemvig",50,NA,100,100,100,NA,100,NA,0,100,0
"Ringkøbing-Skjern",88.8888888888889,71.4285714285714,50,75,33.3333333333333,50,80,100,66.6666666666667,85.7142857142857,70
"Skive",66.6666666666667,33.3333333333333,100,77.7777777777778,50,100,45.4545454545455,16.6666666666667,85.7142857142857,84.6153846153846,100
"Struer",100,33.3333333333333,50,0,NA,NA,100,80,100,100,100
"Viborg",57.1428571428571,100,88.8888888888889,100,100,60,40,42.8571428571429,61.5384615384615,60,80.9523809523809
"Brønderslev",50,100,83.3333333333333,100,100,87.5,80,100,100,33.3333333333333,50
"Frederikshavn",75,50,100,100,50,66.6666666666667,75,65,58.3333333333333,80,0
"Hjørring",60,0,100,100,66.6666666666667,83.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,77.7777777777778,82.3529411764706
"Jammerbugt",100,100,50,100,100,100,100,100,75,20,100
"Læsø",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariagerfjord",100,100,50,100,0,75,100,57.1428571428571,50,50,100
"Morsø",0,66.6666666666667,100,66.6666666666667,50,50,0,75,NA,50,50
"Rebild",NA,100,100,100,100,NA,0,NA,NA,100,66.6666666666667
"Thisted",66.6666666666667,66.6666666666667,100,33.3333333333333,75,100,25,100,100,60,100
"Vesthimmerlands",75,100,100,100,100,100,60,66.6666666666667,66.6666666666667,100,75
"Aalborg",61.1111111111111,88,62.962962962963,75,70.8333333333333,56.5217391304348,33.3333333333333,54.7619047619048,59.5744680851064,64.7058823529412,63.4146341463415
