Kommune,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brønderslev,633.18,633.18,633.18,633.18,633.1,633.1,633.1,633.1,633.06,633.08,633.08,633.1,633.1,633.1,633.1
Frederikshavn,648.62,648.62,648.62,648.62,649.3,649.3,649.4,649.4,649.32,649.44,651.04,651.4,652.5,652.1,652.3
Hjørring,929.58,929.58,929.58,929.58,926.6,926.6,926.5,926.5,926.6,926.58,926.58,926.8,926.8,926.8,926.9
Jammerbugt,872.92,872.92,872.92,872.92,863.9,863.9,863.9,863.9,864.06,864.09,864.09,864.1,864.1,864.1,864.1
Læsø,113.81,113.81,113.81,113.81,118.4,118.9,119.0,119.0,119.18,119.22,119.4,120.5,121.8,121.9,122.0
Mariagerfjord,720.3,722.93,722.93,722.93,718.3,718.3,718.3,718.3,718.3,718.29,718.29,718.3,718.3,718.3,718.3
Morsø,367.67,367.67,367.67,367.67,366.4,366.4,366.4,366.4,366.42,366.43,366.43,366.4,366.4,366.5,366.5
Rebild,625.38,622.75,622.75,622.75,621.3,621.3,621.3,621.3,621.26,621.26,621.26,621.3,621.3,621.3,621.3
Thisted,1101.65,1101.65,1101.65,1101.65,1068.5,1068.5,1073.7,1073.7,1073.85,1073.85,1073.88,1073.9,1074.0,1074.3,1072.1
Vesthimmerlands,776.22,776.22,776.22,776.22,769.8,769.8,769.8,769.8,769.79,769.79,769.79,769.8,769.8,769.7,769.8
Aalborg,1143.99,1143.99,1143.99,1143.99,1137.2,1137.1,1137.3,1137.3,1137.31,1137.31,1137.33,1137.4,1137.4,1137.4,1137.4
Fra 1. januar 2011 baseres opgørelsen af arealerne på data fra,,,,,,,,,,,,,,,
Geodatastyrelsens matrikelregister. Kun matrikulerede områder er,,,,,,,,,,,,,,,
medtaget ved opmålingen,hvilket medfører,at mange søer ikke er,,,,,,,,,,,,,
medtaget. For kommuner med umatrikulerede søer vil arealet derfor,,,,,,,,,,,,,,,
være faldet sammenlignet med tidligere. Pr. 1. januar 2011-2013,,,,,,,,,,,,,,,
gælder yderligere for København og Frederiksberg,at vejene ikke er,,,,,,,,,,,,,,
matrikuleret og derfor ikke indgår i det opmålte areal.,,,,,,,,,,,,,,,
