"","Municipalities","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"35","Solrød",0.478881333205632,1.90803281816447,0,0.472925041380941,0.468625521345892,0,0.458968239397834,0,0.888178346211919,0.433557337957945,0
"36","Faxe",0.283237976547896,0,0,0.284713720354184,1.13898459523335,0,0.280788453978772,1.11370976723466,1.93696560502504,0.82162517459535,1.09361329833771
"37","Guldborgsund",0.317904374364191,0.958726810795264,0.484550902072263,0.163073611428199,1.31132492992607,0.164395271991978,1.14793617474868,1.63246649362522,2.28687172283115,1.47710487444609,2.79964428049142
"38","Holbæk",1.00647016534867,1.00689000445908,1.1524886551898,0.43313168647041,0.289787875275298,0.724270297675092,0.5716572343223,1.97322057787174,0.986151613766676,0.701291779457761,0.838679917809368
"39","Kalundborg",1.42088703948036,0.407431551499348,0.411251850633328,1.03532529920901,1.03395508499111,0.206317440013204,0.20550760378134,1.23112278397899,1.02078314482871,1.43793266366755,1.03229003220745
"40","Lolland",1.27703047846075,0.433735984905988,1.32623063150682,1.35025654874426,0.918948722661275,0.929713648196355,1.17266288287443,0.709471443774388,4.28755180791768,3.12387360326805,2.43279406398248
"41","Næstved",0.493145280599665,0.494052838951126,0.617192514689182,0.369626553971637,0.368405540819334,0.734510999302215,1.0930023560273,1.45311875613034,2.41143987074682,1.08445494089721,1.44329648918129
"42","Odsherred",0.908265213442325,3.34906378444208,0.919117647058823,0.308147417724639,0.614741501198746,0.306138068268789,0.30472940029254,3.02819247191352,0.604540096121875,0.30191413561983,3.03425675880693
"43","Ringsted",0.613798183157378,1.82426269382791,0.904895484571532,0.301050666827227,0.299859066238868,0.59571679623507,0.881549175751521,0.583788201640445,0.290082093232385,1.15190784737221,0.286927579478939
"44","Slagelse",0.645369474023879,0.903902275251156,0.388048117966628,0.777534438296163,0.519831574569839,0.646889110268718,1.66368057332992,0.888009336783884,1.89950359639348,1.64405043440871,1.39111959834583
"45","Sorø",0,0.338994542187871,0,0,1.02392573125363,4.09123453001943,0,1.0136847440446,1.68526070983181,1.67594020245358,1.00398246377297
"46","Stevns",1.36792667913,0.915122397620682,0,0,0.458190148911798,0,0.449236298292902,0.889205050684688,5.72006864082369,0.877886050390659,0.438500328875247
"47","Vordingborg",0.215894125520845,0.649772579597141,0.218321543969959,0.879797646541295,0.441549839938183,1.09960194409624,0.873248046107497,1.08608293329279,1.08490463688242,1.09132180897503,2.19461879471536
"48","Assens",0.47557901745375,1.20091269364717,0,1.20992135511192,0.243682530399396,0.243629099059592,0,0.483208504469679,1.69376693766938,1.69853440745414,0.488221652630294
"49","Faaborg-Midtfyn",0.191993856196602,0.19258175095328,0.774668345114748,0.389036939057363,0.19577900465954,0.588777893352698,0.195175267390116,1.94643413266895,0.388078236572493,1.93016657337528,1.93963845139266
"50","Kerteminde",0.420698359276399,0,0.420291682427605,0,0.42256496936404,0,0,0.420627576343905,0.841892574507493,0.841290539687881,0
"51","Langeland",2.22057735011103,0,0,0,0,0,2.39100980314019,0,0,1.59235668789809,0
"52","Middelfart",0.796580016462654,1.32622476857378,0.797617781559077,0,0.265357569324665,0.528303880392001,1.05504708147601,0.525030845562177,1.30855796911803,0.778149560345498,0.772141147401745
"53","Nordfyns",0.337404683177003,0,0.340947834981248,0.342184505885573,0.344044588178628,0.688942473303479,0,0.33960470012905,1.0163978858924,0,0.337097589752233
"54","Nyborg",0.315556958030925,0.952411187656751,0.317601473670838,0.318979266347687,0.319345979434119,2.5338105343173,0.313617261494073,1.24447763051459,0.624375624375624,1.24836152549778,0.312412134087288
"55","Odense",1.00647854346663,1.1038397855397,0.678461458170242,0.72400062057196,0.715026277215688,0.810208628721896,1.10568321170818,0.747894676485693,1.03781603969399,1.12644601385039,1.31774811488811
"56","Svendborg",0.169497271093935,1.02192018803331,0.683165103926491,1.02923013585838,0.344952482795495,0.689797889218459,0.858693412104142,2.05093146470689,1.3629084466251,1.0239082578201,1.20076849183477
"57","Ærø",1.4972301242701,0,0,0,0,0,0,1.61890885543144,1.61864681126578,0,0
"58","Billund",0.382262996941896,0.382336073408526,0,0,0.379968082681055,0,1.51320269350079,0,0.377614983762556,0.751060873483796,2.63078773301263
"59","Esbjerg",0.694963253817954,0.60772329490207,0.955591076516784,0.782261779558631,1.04261696859116,0.692964676125635,0.518367487991153,1.29416332341141,1.63747931605074,1.55639331788469,1.7318566369076
"60","Fanø",0,3.11235605353252,0,0,0,0,9.11854103343465,0,0,0,0
"61","Fredericia",0.601817488816225,0.399169726967907,0.199230968461738,0.397030213999285,0.39742468802162,0.793194392115648,1.1836887687664,0.982936227097586,1.55866422475938,1.36115270188811,2.33567549681764
"62","Haderslev",0.177474887303447,0.712796478785395,0.533921833843525,0.713635795971526,0.894358387292956,0.53678786143716,1.07087401167253,1.42742439111428,1.42951593016815,1.79028590865961,2.1555595473325
"63","Kolding",0.449079947457646,0.336285169824011,0.447367243770411,0.558309884318192,0.444118757355717,0.330418309579928,1.30868640601996,0.541817472529854,1.18899637896557,0.861205903566469,0.965924335927019
"64","Sønderborg",0.784939625060506,0.524982609951045,1.44558046626541,0.264089156499234,0.531462585034014,0.934117992446989,0.936617739539987,1.20319247068889,1.07166778298727,1.7435388473867,1.34734572891404
"65","Tønder",0.25182573659028,0.760186499087776,0.511731443338536,0.516982887866412,0.52197515398267,0.263088660878716,1.05529759392149,1.31828728116431,0.264711332292135,2.1283954558757,2.94385270031579
"66","Varde",0.396998689904323,0.198605787372644,0,0.200124076927695,0.20016814123864,1.19707912693029,0.596551929845493,0.792832791564259,0.59640961412298,4.18919188493686,3.60281019194972
"67","Vejen",0.467639356528245,0.702855937961249,0.70118032020568,0.936768149882904,0.468746337919235,0.46947254759278,0.699806386899624,0.467049647377516,2.56745401923256,1.39980869281198,1.87169528800711
"68","Vejle",0.469999906000019,0.652875450017721,0.833171327797373,0.275669417234852,0.455988034873965,0.54312896597297,1.07389277180674,1.4128908630114,1.40178727878045,1.13210833405904,1.9006807893009
"69","Aabenraa",0.166727800193404,1.17066644368258,1.00671140939597,0.844480475611404,0.339155502798033,0.679071030829825,1.01921214900882,1.8643119841364,0.507708710589111,2.03269247056831,0.340361804598288
"70","Favrskov",0.214919727481786,0,0,0.212062091780473,0.848122468884507,0.841697704269512,0.209841569614941,0.208702911405614,1.03581860744546,2.8941166742465,1.6529950203525
"71","Hedensted",0.217476403810187,0.652457590256633,0.869017358621738,0.218016918112846,0.656239746253965,0,0.649266329048175,0.644828475625484,1.50163034151364,0.213917470639827,1.07015966782244
"72","Horsens",0.488060812377222,0.362165751192129,0.358860259814828,0.471303507676356,0.466951507085989,0.115793008418152,0.341934895595879,0.673930135909244,1.22770597557981,1.32787429456678,0.989380647714531
"73","Norddjurs",0,1.05182886744327,0.264019431830183,1.05166294202708,0.2636783124588,0,0.786493288590604,0.787422242053597,1.57080398984213,2.38853503184713,0.269621720725822
"74","Odder",0,0,0.459791254770334,0,0,0.456037942356804,0.451854864217613,0.447807979938202,0,0.441014332965821,0
"75","Randers",0.316622691292876,0.524559894248725,0.313296294749154,0.624954430406116,0.830366503015268,1.03305785123967,0.820344544708778,0.611508591695713,1.11942197120033,1.02135656579068,1.32917540003067
"76","Samsø",2.49376558603491,0,0,0,0,0,2.69541778975741,2.68528464017186,0,2.71444082519001,0
